datasetURL (publicationState),datasetTitle (dataverseName),"fileName (fileType, fileSize)"
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),2_stan_alpha.R (type/x-r-syntax; 2.73 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),3_stan_delta_approval.R (type/x-r-syntax; 2.16 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),3_stan_delta.R (type/x-r-syntax; 2.4 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),4_stan_alpha_delta.R (type/x-r-syntax; 3.17 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),4_stan_full_approval.R (type/x-r-syntax; 2.97 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),5_stan_full.R (type/x-r-syntax; 3.53 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),6_stan_full_no_party.R (type/x-r-syntax; 3.29 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),7_stan_full_double_gamma_with_party.R (type/x-r-syntax; 4.56 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),annual_income.tab (text/tab-separated-values; 32.88 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),BES-2015-General-Election-results-file-v2.2.tab (text/tab-separated-values; 2.41 MB)
